algorithm,size,blockSize,numBlocks,time,L1,L2,mflops,speedup,efficiency,threads
Standard,600,0,0,0.204055,244765594,39781564,2117.07,1,1,8
Standard,1000,0,0,1.43056,1228550687,231020021,1398.05,1,1,8
Standard,1400,0,0,4.40414,3508188743,860087236,1246.1,1,1,8
Standard,1800,0,0,18.2425,9089985320,4517225726,639.386,1,1,8
Standard,2200,0,0,38.8898,17650667214,21712182875,547.599,1,1,8
Standard,2600,0,0,70.113,30897008262,50636951357,501.362,1,1,8
Standard,3000,0,0,118.185,50302311471,97457069365,456.911,1,1,8
Line,600,0,0,0.103741,27111539,56003642,4164.23,1,1,8
Line,1000,0,0,0.461505,125812423,259007571,4333.64,1,1,8
Line,1400,0,0,1.72456,346370717,681525389,3182.26,1,1,8
Line,1800,0,0,3.5489,745117921,1400277229,3286.66,1,1,8
Line,2200,0,0,6.41929,2071441045,2508152774,3317.5,1,1,8
Line,2600,0,0,10.6498,4412320016,4141985407,3300.73,1,1,8
Line,3000,0,0,17.5464,6779821765,6327908296,3077.55,1,1,8
Line_large,4096,0,0,42.596,17552401117,16358406894,3226.57,1,1,8
Line_large,6144,0,0,141.445,59233176551,54873553580,3279.42,1,1,8
Line_large,8192,0,0,341.816,140288501930,132141464701,3216.68,1,1,8
Line_large,10240,0,0,641.805,273936507976,253418893567,3346,1,1,8
Block_128,4096,128,32768,49.0441,9950038546,33649743417,2802.36,1,1,8
Block_256,4096,256,4096,48.4903,9153852393,23227235748,2834.36,1,1,8
Block_512,4096,512,512,49.7714,8753792357,20001094851,2761.41,1,1,8
Block_128,6144,128,110592,164.854,33634417716,114005871204,2813.74,1,1,8
Block_256,6144,256,13824,157.707,30936728160,78970645344,2941.25,1,1,8
Block_512,6144,512,1728,156.464,29607246311,67955232815,2964.61,1,1,8
Block_128,8192,128,262144,386.809,79941586190,273755158595,2842.52,1,1,8
Block_256,8192,256,32768,503.755,73791185473,175334903453,2182.63,1,1,8
Block_512,8192,512,4096,458.217,70332892127,155938870278,2399.54,1,1,8
Block_128,10240,128,512000,765.968,155742805687,528567462195,2803.62,1,1,8
Block_256,10240,256,64000,731.829,143223615771,365297487153,2934.4,1,1,8
Block_512,10240,512,8000,734.507,136953695886,314242968841,2923.71,1,1,8
LineExtParallel,600,0,0,0.0164183,30503539,63844108,26312,5.77796,0.722245,8
LineExtParallel,1000,0,0,0.10025,141716413,291480199,19950.2,4.7583,0.594787,8
LineExtParallel,1400,0,0,0.385998,389417463,749795608,14217.7,4.627,0.578375,8
LineExtParallel,1800,0,0,0.61422,838251840,1581580283,18989.9,5.85315,0.731643,8
LineExtParallel,2200,0,0,1.35699,2330806639,2829334569,15693.5,4.57774,0.572217,8
LineExtParallel,2600,0,0,2.14664,4963580633,4668513592,16375.4,4.79892,0.599865,8
LineExtParallel,3000,0,0,3.18028,7627275592,7100649731,16979.6,5.2596,0.65745,8
LineExtParallel_large,4096,0,0,7.87302,19737830879,17814969155,17456.9,5.3119,0.663988,8
LineExtParallel_large,6144,0,0,34.0325,66546146361,59300797676,13629.8,4.11219,0.514024,8
LineExtParallel_large,8192,0,0,84.6433,157809456808,146541658920,12989.9,3.95645,0.494556,8
LineExtParallel_large,10240,0,0,155.895,308179846790,281207265439,13775.2,4.12417,0.515521,8
LineIntParallel,600,0,0,0.207958,37468117,98181774,2077.34,0.446586,0.0558233,8
LineIntParallel,1000,0,0,0.630565,160413097,393409652,3171.76,0.702418,0.0878022,8
LineIntParallel,1400,0,0,1.43985,420571686,952694098,3811.5,1.01505,0.126881,8
LineIntParallel,1800,0,0,3.06838,889239099,1802635097,3801.36,1.05104,0.13138,8
LineIntParallel,2200,0,0,5.70429,2316950544,3115922001,3733.33,1.05828,0.132285,8
LineIntParallel,2600,0,0,9.13871,4793267004,4935972671,3846.49,1.10985,0.138732,8
LineIntParallel,3000,0,0,14.277,7347534461,7390209120,3782.31,1.17132,0.146415,8
LineIntParallel_large,4096,0,0,35.1139,18822383469,18165162118,3914.09,1.17339,0.146674,8
LineIntParallel_large,6144,0,0,108.387,63359433081,61302986276,4279.61,1.27914,0.159892,8
LineIntParallel_large,8192,0,0,249.566,149726517209,146406667686,4405.7,1.34578,0.168222,8
LineIntParallel_large,10240,0,0,492.565,292011116740,273670655170,4359.79,1.30879,0.163598,8
