Matrix Size,Standard Ratio (C#/C++),Line Ratio (C#/C++),Block_128 Ratio (C#/C++),Block_256 Ratio (C#/C++),Block_512 Ratio (C#/C++)
600,3.103041336894465,5.568673909061991,,,
1000,2.296653548260821,5.790200756221493,,,
1400,2.5694369388802354,4.375620274156886,,,
1800,1.7782974592298206,4.559034376849165,,,
2200,1.6226794763665537,4.625871552772971,,,
2600,1.5476327485630341,4.599910777667186,,,
3000,1.4656045775690654,4.291235495600237,,,
4096,,,4.0309843569359005,3.9382763253681663,3.8979009672221396
6144,,,4.028355877928348,4.065636914658196,4.051145207843337
8192,,,4.049440227088821,3.349394514793898,3.5551705495431207
10240,,,4.033904163750966,4.055439936651869,4.00657682676952
